#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A36376
#Date Time: 2019-03-14 16:04:16.854
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2.95 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -500 mV
#Channel 2: Range: 500 mV/div Offset: -500 mV
#Math 1: Function: (C1-C2)/301

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (A)
-0.00472375,-0.0250765,-0.000265419,-8.24289e-05
-0.0047225,-0.0247453,-0.000600936,-8.02139e-05
-0.00472125,-0.0244141,-0.000265419,-8.02283e-05
-0.00472,-0.0247453,-0.000265419,-8.13286e-05
-0.00471875,-0.0247453,-0.000600936,-8.02139e-05
-0.0047175,-0.0244141,-0.000265419,-8.02283e-05
-0.00471625,-0.0244141,7.00975e-05,-8.13429e-05
-0.004715,-0.0247453,-0.000265419,-8.13286e-05
-0.00471375,-0.0247453,-0.000265419,-8.13286e-05
-0.0047125,-0.0244141,7.00975e-05,-8.13429e-05
-0.00471125,-0.0247453,-0.000265419,-8.13286e-05
-0.00471,-0.0250765,7.00975e-05,-8.35435e-05
-0.00470875,-0.0250765,-0.000265419,-8.24289e-05
-0.0047075,-0.0247453,7.00975e-05,-8.24432e-05
-0.00470625,-0.0250765,7.00975e-05,-8.35435e-05
-0.004705,-0.0247453,7.00975e-05,-8.24432e-05
-0.00470375,-0.0250765,7.00975e-05,-8.35435e-05
-0.0047025,-0.0247453,0.000405614,-8.35579e-05
-0.00470125,-0.0244141,7.00975e-05,-8.13429e-05
-0.0047,-0.0247453,-0.000265419,-8.13286e-05
-0.00469875,-0.0244141,-0.000265419,-8.02283e-05
-0.0046975,-0.0250765,7.00975e-05,-8.35435e-05
-0.00469625,-0.0247453,7.00975e-05,-8.24432e-05
-0.004695,-0.0247453,-0.000265419,-8.13286e-05
-0.00469375,-0.0247453,-0.000600936,-8.02139e-05
-0.0046925,-0.0247453,-0.000265419,-8.13286e-05
-0.00469125,-0.0250765,-0.000265419,-8.24289e-05
-0.00469,-0.0247453,-0.000265419,-8.13286e-05
-0.00468875,-0.0250765,-0.000265419,-8.24289e-05
-0.0046875,-0.0247453,7.00975e-05,-8.24432e-05
-0.00468625,-0.0250765,7.00975e-05,-8.35435e-05
-0.004685,-0.0250765,-0.000265419,-8.24289e-05
-0.00468375,-0.0250765,-0.000265419,-8.24289e-05
-0.0046825,-0.0247453,-0.000600936,-8.02139e-05
-0.00468125,-0.0247453,-0.000600936,-8.02139e-05
-0.00468,-0.0244141,-0.000600936,-7.91136e-05
-0.00467875,-0.0247453,-0.000600936,-8.02139e-05
-0.0046775,-0.0247453,-0.000600936,-8.02139e-05
-0.00467625,-0.0244141,7.00975e-05,-8.13429e-05
-0.004675,-0.0244141,-0.000265419,-8.02283e-05
-0.00467375,-0.0247453,-0.000600936,-8.02139e-05
-0.0046725,-0.0247453,-0.000265419,-8.13286e-05
-0.00467125,-0.0247453,-0.000265419,-8.13286e-05
-0.00467,-0.0250765,-0.000600936,-8.13142e-05
-0.00466875,-0.0247453,7.00975e-05,-8.24432e-05
-0.0046675,-0.0240829,-0.000600936,-7.80133e-05
-0.00466625,-0.0244141,-0.000265419,-8.02283e-05
-0.004665,-0.0244141,-0.000265419,-8.02283e-05
-0.00466375,-0.0244141,7.00975e-05,-8.13429e-05
-0.0046625,-0.0247453,7.00975e-05,-8.24432e-05
-0.00466125,-0.0244141,-0.000265419,-8.02283e-05
-0.00466,-0.0217646,-0.000265419,-7.14258e-05
-0.00465875,0.02394,0.000405614,7.81875e-05
-0.0046575,0.0236088,7.00975e-05,7.82018e-05
-0.00465625,0.0236088,7.00975e-05,7.82018e-05
-0.004655,0.0229465,-0.000265419,7.71159e-05
-0.00465375,0.0226153,-0.000600936,7.71302e-05
-0.0046525,0.0229465,7.00975e-05,7.60012e-05
-0.00465125,0.0226153,7.00975e-05,7.49009e-05
-0.00465,0.0222841,0.000405614,7.26859e-05
-0.00464875,0.0226153,-0.000265419,7.60156e-05
-0.0046475,0.0226153,-0.000265419,7.60156e-05
-0.00464625,0.0229465,-0.000265419,7.71159e-05
-0.004645,0.0229465,-0.000265419,7.71159e-05
-0.00464375,0.0226153,-0.000600936,7.71302e-05
-0.0046425,0.0226153,-0.000600936,7.71302e-05
-0.00464125,0.0226153,-0.000265419,7.60156e-05
-0.00464,0.0226153,-0.000265419,7.60156e-05
-0.00463875,0.0226153,-0.000265419,7.60156e-05
-0.0046375,0.0226153,-0.000600936,7.71302e-05
-0.00463625,0.0219529,-0.000265419,7.3815e-05
-0.004635,0.0222841,7.00975e-05,7.38006e-05
-0.00463375,0.0222841,-0.000265419,7.49153e-05
-0.0046325,0.0226153,-0.000265419,7.60156e-05
-0.00463125,0.0222841,-0.000600936,7.60299e-05
-0.00463,0.0222841,-0.000600936,7.60299e-05
-0.00462875,0.0219529,-0.00127197,7.7159e-05
-0.0046275,0.0226153,-0.000265419,7.60156e-05
-0.00462625,0.0219529,-0.000265419,7.3815e-05
-0.004625,0.0222841,-0.000600936,7.60299e-05
-0.00462375,0.0229465,-0.000600936,7.82306e-05
-0.0046225,0.0222841,-0.000265419,7.49153e-05
-0.00462125,0.0222841,-0.000936452,7.71446e-05
-0.00462,0.0219529,-0.000936452,7.60443e-05
-0.00461875,0.0219529,-0.000265419,7.3815e-05
-0.0046175,0.0222841,-0.000265419,7.49153e-05
-0.00461625,0.0219529,-0.000600936,7.49296e-05
-0.004615,0.0219529,-0.000265419,7.3815e-05
